RPM,WindMagnitude,AngleDegrees,AzimuthAngle,Fx,Fy,Fz,Qx,Qy,Qz
45,2,-5,36.0,21.475260748681773,-1.1197598426284148,4114.102837600646,181.35577728977424,8.857749058829025,-1372.5316633189082
45,2,-5,72.0,21.438095096618945,-1.4068730005324634,4124.307953066778,181.05851313103187,7.123985282143888,-1375.873218669495
45,2,-5,108.0,21.73350934599553,-1.402398406978979,4124.307953066772,182.93537433511955,7.0122852848776684,-1375.8732186694956
45,2,-5,144.0,21.587897314130664,-1.1180537541345679,4114.102837600651,182.07139341291474,8.81515969812779,-1372.5316633189098
45,2,-5,180.0,21.255635826879672,-1.2857989214509478,4097.607788577592,179.72763009637796,7.774170681591027,-1367.130868378935
45,2,-5,216.0,21.378362440801133,-1.4433289736027146,4081.1476574599083,180.2335262917042,6.558211714468765,-1361.7419139532035
45,2,-5,252.0,21.381434065168794,-1.1580748867292021,4070.999038084509,180.24462639148322,8.2574813709049,-1358.4195156722026
45,2,-5,288.0,21.09112754988368,-1.1624721142285273,4070.999038084501,178.40021625561565,8.367250067038725,-1358.4195156721992
45,2,-5,324.0,21.26693288096588,-1.4450167797683793,4081.1476574599005,179.5255786612684,6.600344690585091,-1361.7419139532012
45,2,0,0.0,21.84275396091488,-1.3032109927211881,4144.418230194518,183.77477055330348,7.701627160414027,-1382.4585723977702
45,2,0,36.0,21.640330683710342,-1.1388595857310424,4160.927033279931,182.6014345048403,8.904736405331157,-1387.8650364122002
45,2,0,72.0,21.5675498496094,-1.424080153370262,4171.118453587206,182.00313220162184,7.156237611956884,-1391.2028280810446
45,2,0,108.0,21.862646252854667,-1.4196103741820807,4171.118453587201,183.8779740275838,7.04465779648253,-1391.202828081044
45,2,0,144.0,21.753220458276683,-1.1371496619173398,4160.927033279943,183.31865934648653,8.862051302958308,-1387.8650364122038
45,2,0,180.0,21.477088733341947,-1.3087496668689456,4144.418230194514,181.45158241747856,7.8398899729182645,-1382.4585723977696
45,2,0,216.0,21.658997686543596,-1.471864167079629,4127.89990186212,182.45196373496458,6.629420966278843,-1377.0494010331174
45,2,0,252.0,21.69859250611603,-1.184642655785297,4117.693082119204,182.7704772323657,8.366013875844823,-1373.7072324000217
45,2,0,288.0,21.403496102871095,-1.1891124349703517,4117.693082119185,180.89563540641447,8.477593691361005,-1373.7072324000183
45,2,0,324.0,21.546107911982293,-1.4735740908899846,4127.899901862113,181.7347388933791,6.672106068709971,-1377.049401033115
45,2,5,0.0,21.899361787307562,-1.316222439257174,4191.15225819219,184.10892633650263,7.708206286935493,-1397.7645574596536
45,2,5,36.0,21.640018844887027,-1.1504551347700085,4207.549281843661,182.45122809595742,8.875152495016007,-1403.135574921328
45,2,5,72.0,21.53213227397278,-1.4293894268365697,4217.649619482318,181.55644102312525,7.138279209700915,-1406.4442501386648
45,2,5,108.0,21.822438789258012,-1.4249921993341785,4217.649619482316,183.40085115899774,7.028510513607722,-1406.4442501386645
45,2,5,144.0,21.75144840472664,-1.1487673286012132,4207.549281843673,183.15917572644028,8.833019518958132,-1403.1355749213317
45,2,5,180.0,21.53647419796076,-1.3217190409516157,4191.15225819219,181.8033854246531,7.845418838043187,-1397.7645574596547
45,2,5,216.0,21.775480672391396,-1.4880343704612784,4174.701555561197,183.28798801630728,6.658977157550151,-1392.3763670447602
45,2,5,252.0,21.85134180755185,-1.2032543484439526,4164.514390864578,183.91149089822005,8.406623406462785,-1389.0399138211776
45,2,5,288.0,21.55592755817554,-1.2077289419948702,4164.514390864565,182.03462969414355,8.518323403760355,-1389.039913821173
45,2,5,324.0,21.662844106947166,-1.4897404589533672,4174.701555561194,182.5723718932216,6.701566518291703,-1392.3763670447581
45,2,10,0.0,21.78474981337102,-1.31882813489486,4237.455068516465,183.00965966658575,7.655822180804652,-1412.9325830888297
45,2,10,36.0,21.471135578253584,-1.1540012740572458,4253.616240084471,180.88275039138006,8.7687484937899,-1418.2274815589806
45,2,10,72.0,21.328903751085285,-1.422397432024178,4263.549175167813,179.69816390823698,7.069215387294648,-1421.4820155723476
45,2,10,108.0,21.610093874904557,-1.418138289080768,4263.54917516781,181.48465469356947,6.962893718235592,-1421.482015572346
45,2,10,144.0,21.579435867410055,-1.1523608664623375,4253.616240084477,181.57081676442786,8.727798735979128,-1418.2274815589842
45,2,10,180.0,21.430110741570417,-1.3241997975804711,4237.455068516463,180.75652422470202,7.789915859387687,-1412.9325830888286
45,2,10,216.0,21.723718864841185,-1.491314901794295,4221.19668639717,182.71153249327566,6.645783750745867,-1407.6062374791957
45,2,10,252.0,21.835306012991893,-1.21336045125993,4211.106502816943,183.63523460066023,8.37817122569627,-1404.3008339911205
