Time_s,RotorSpeed_rad_s,Qaero_Nm,Predicted_WindZ
2.51,39.1768251159969,-1356.348727388967,3.9308443701437916
2.52,39.17040962951318,-1356.3498533885418,3.9358035325653873
2.53,39.16410417279464,-1356.35097919752,3.9406784244949584
2.54,39.15790836689324,-1356.3521047981974,3.9454693100044853
2.5500000000000003,39.15182183291834,-1356.353230177254,3.9501764537856463
2.56,39.14584419204181,-1356.3543553184686,3.954800121047418
2.57,39.13997506550315,-1356.355480207705,3.9593405775701864
2.58,39.13421407461458,-1356.3566048295602,3.963798089653549
2.59,39.1285608407661,-1356.3577291694728,3.9681729241338335
2.6,39.12301498543052,-1356.3588532125405,3.972465348359602
2.61,39.11757613016848,-1356.359976944158,3.97667563019049
2.62,39.11224389663349,-1356.3611003496453,3.9808040379831446
2.63,39.10701790657682,-1356.3622234145903,3.9848508405863594
2.64,39.101897781852536,-1356.3633461244326,3.9888163073265304
2.65,39.09688314442237,-1356.3644684647702,3.992700708002367
2.66,39.09197361636063,-1356.3655904211537,3.996504312873162
2.67,39.08716881985915,-1356.3667119793126,4.0002273926524925
2.68,39.08246837723205,-1356.3678331251626,4.003870218499294
2.69,39.07787191092065,-1356.3689538444569,4.007433062004351
2.7,39.07337904349824,-1356.3700741230375,4.010916195184535
2.71,39.06898939767492,-1356.3711939470363,4.014319890476326
2.72,39.06470259630231,-1356.3723133024355,4.0176444207213695
2.73,39.060518262378366,-1356.373432175341,4.020890059160994
2.74,39.05643601905205,-1356.3745505519216,4.024057079426628
2.75,39.05245548962807,-1356.3756684183645,4.027145755530423
2.76,39.04857629757156,-1356.376785761037,4.030156361858484
2.77,39.0447980665127,-1356.3779025663891,4.03308917316096
2.78,39.0411204202514,-1356.379018820812,4.03594446454149
2.79,39.03754298276191,-1356.380134510794,4.038722511450528
2.8000000000000003,39.03406537819739,-1356.3812496228466,4.041423589675777
2.81,39.03068723089449,-1356.3823641437364,4.0440479753365945
2.82,39.02740816537791,-1356.383478060102,4.046595944870509
2.83,39.02422780636493,-1356.3845913587113,4.049067775027995
2.84,39.02114577876987,-1356.3857040263244,4.051463742862293
2.85,39.01816170770866,-1356.3868160499485,4.053784125724176
2.86,39.0152752185032,-1356.3879274165104,4.0560292012494035
2.87,39.01248593668589,-1356.3890381130727,4.0581992473531106
2.88,39.009793488003965,-1356.3901481266582,4.060294542219264
2.89,39.00719749842398,-1356.3912574444107,4.062315364294415
2.9,39.0046975941361,-1356.3923660536132,4.0642619922796985
2.91,39.0022934015585,-1356.3934739416318,4.066134705121909
2.92,38.99998454734168,-1356.3945810956625,4.067933782002115
2.93,38.99777065837278,-1356.395687503116,4.0696595023324456
2.94,38.99565136177987,-1356.396793151562,4.071312145747264
2.95,38.9936262849362,-1356.3978980285451,4.072891992092826
2.96,38.99169505546445,-1356.3990021216653,4.0743993214202465
2.97,38.98985730124095,-1356.400105418537,4.075834413977038
2.98,38.98811265039991,-1356.4012079068625,4.0771975502001165
2.99,38.98646073133755,-1361.8505701967465,4.148207397005381
3.0,38.98453452103741,-1367.1168298730022,4.217064015916943
3.01,38.98271262231447,-1367.5272893120425,4.223727024176242
3.02,38.98098354531125,-1367.1405083122172,4.220121814186804
3.03,38.97934724419957,-1367.4035738821617,4.224756051837536
3.04,38.97780333770418,-1367.229934978228,4.223733103991487
3.0500000000000003,38.97635145466976,-1367.3475328405882,4.22636385569187
3.06,38.97499122392758,-1367.2709684452166,4.226440009071364
